Sciences de la santé - Health care science (mois année)	SCIENCES-SANTE
Sciences de l’information et de la communication - Communication Sciences (mois année)	SCIENCES-INFO-COMM
Sciences politiques - Political Sciences (mois année)	SCIENCESPOLITIQUES
Sociologie et anthropologie - Sociology and Anthropology (mois année)	SOCIO-ANTHROPO
Travail social - Social work (mois année)	TRAVAIL-SOCIAL
Art et humanités - Art and Humanities (mois année)	ART-HUMANITES
Droit - Law (mois année)	DROIT
Économie - Economics (mois année)	ECONOMIE
Éducation - Education (mois année)	EDUCATION
Études sur le Moyen Âge et la Renaissance - Medieval and renaissance Studies (mois année)	MOYEN-AGE-RENAISSANCE
Géographie - Geography (mois année)	GEOGRAPHIE
Histoire antique et préhistoire / Antiquity and Prehistory (mois année)	HISTOIRE-ANTIQUE-PREHISTOIRE
Histoire contemporaine / Modern history (mois année)	HISTOIRE-CONTEMPORAINE
Histoire et archéologie / History & archeologie (mois année)	HISTOIRE-ARCHEOLOGIE
Histoire médiévale - Middle Ages history (mois année)	HISTOIRE-MEDIEVALE
Histoire moderne - Early modern history (mois année)	HISTOIRE-MODERNE
Langue et linguistique - Language and Linguistics (mois année)	LANGUE-LINGUISTIQUE
Littérature - Literature (mois année)	LITTERATURE
Management et administration - Management and administration (mois année)	MANAGEMENT-ADMIN
Philosophie - Philosophy (mois année)	PHILOSOPHIE
Psychologie - Psychology (mois année)	PSYCHOLOGIE
Religion - Religion (mois année)	RELIGION
CIFNAL - European studies (fr) (mois année)	EUROPEAN-STUDIES-FR-CIFNAL
CIFNAL - European studies (mois année)	EUROPEAN-STUDIES-ALL-LANGUAGE-CIFNAL
CIFNAL - French studies (mois année)	FRENCH-STUDIES-CIFNAL
CIFNAL - Latin american area (mois année)	LATIN-AMERICA-CIFNAL
CIFNAL - Arab and muslim world (mois année)	ARAB-MUSLIM-WORLD-CIFNAL
Publications des 6 derniers mois (Presses universitaires du Septentrion) - Last 6-months new titles (Presses universitaires du Septentrion) (année semestre)	NOUVEAUTES-PU-SEPTENTRION-LAST-6-MONTHS
Espace / Afrique - Africa (mois année)	AIRE-GEO-AFRIQUE
Espace / Amérique - America (mois année)	AIRE-GEO-AMERIQUE
Espace / Amérique latine - Latin America (mois année)	AIRE-GEO-AMERIQUE-LATINE
